FlaggedPct,Precision,Recall,F1
1.0,0.16325336454066705,0.05523658681449218,0.08254437869822485
1.5,0.175430432759423,0.07463868540882994,0.10472222222222222
2.0,0.175430432759423,0.07463868540882994,0.10472222222222222
2.5,0.22095724907063197,0.1882795486042368,0.2033137359700695
3.0,0.2610310179117519,0.23658681449217978,0.2482085367120158
3.5,0.36738111185532485,0.43436943179568405,0.3980767486165291
4.0,0.4499126383226558,0.6117600475153435,0.518499874150516
4.5,0.40352910870685216,0.620273213225104,0.4889582520483808
5.0,0.3743709771796372,0.6333399326865967,0.4705795822300677
5.5,0.35067582063934777,0.6471985745396951,0.4548806790509984
6.0,0.33052109181141437,0.6592753910116809,0.4403014676715589
6.5,0.3115409653120059,0.6632350029697089,0.42394330549228043
7.0,0.27916458645365283,0.664224905959216,0.3931103169488546
7.5,0.28260026374990305,0.7212433181548208,0.40608627800691116
8.0,0.26565107000362714,0.7250049495149475,0.3888299001911234
8.5,0.26856936416184973,0.7358938823995248,0.39352072415435924
9.0,0.26856936416184973,0.7358938823995248,0.39352072415435924
9.5,0.26856936416184973,0.7358938823995248,0.39352072415435924
10.0,0.22375391283409585,0.7358938823995248,0.34316576651433317
10.5,0.22375391283409585,0.7358938823995248,0.34316576651433317
11.0,0.22375391283409585,0.7358938823995248,0.34316576651433317
11.5,0.22375391283409585,0.7358938823995248,0.34316576651433317
12.0,0.183755704437324,0.7493565630568204,0.295138212016063
12.5,0.19327006039689387,0.7982577707384676,0.3111951530120017
13.0,0.19327006039689387,0.7982577707384676,0.3111951530120017
13.5,0.19327006039689387,0.7982577707384676,0.3111951530120017
14.0,0.19327006039689387,0.7982577707384676,0.3111951530120017
14.5,0.16766836818705746,0.8063749752524253,0.2776130593327199
15.0,0.15744105141090065,0.8063749752524253,0.26344555480094434
15.5,0.15747640337804272,0.8158780439516927,0.26399743754003846
16.0,0.15747640337804272,0.8158780439516927,0.26399743754003846
16.5,0.15747640337804272,0.8158780439516927,0.26399743754003846
17.0,0.15747640337804272,0.8158780439516927,0.26399743754003846
17.5,0.1373941454957658,0.8158780439516927,0.23518333571122843
18.0,0.16333592032078645,1.0,0.2808061153578874
18.5,0.16333592032078645,1.0,0.2808061153578874
19.0,0.16333592032078645,1.0,0.2808061153578874
19.5,0.16333592032078645,1.0,0.2808061153578874
20.0,0.16333592032078645,1.0,0.2808061153578874
20.5,0.16333592032078645,1.0,0.2808061153578874
